Date,Adj Close
02/01/1990,359.690002
03/01/1990,358.76001
04/01/1990,355.670013
05/01/1990,352.200012
08/01/1990,353.790009
09/01/1990,349.619995
10/01/1990,347.309998
11/01/1990,348.529999
12/01/1990,339.929993
15/01/1990,337
16/01/1990,340.75
17/01/1990,337.399994
18/01/1990,338.190002
19/01/1990,339.149994
22/01/1990,330.380005
23/01/1990,331.609985
24/01/1990,330.26001
25/01/1990,326.079987
26/01/1990,325.799988
29/01/1990,325.200012
30/01/1990,322.980011
31/01/1990,329.079987
01/02/1990,328.790009
02/02/1990,330.920013
05/02/1990,331.850006
06/02/1990,329.660004
07/02/1990,333.75
08/02/1990,332.959991
09/02/1990,333.619995
12/02/1990,330.079987
13/02/1990,331.019989
14/02/1990,332.01001
15/02/1990,334.890015
16/02/1990,332.720001
20/02/1990,327.98999
21/02/1990,327.670013
22/02/1990,325.700012
23/02/1990,324.149994
26/02/1990,328.670013
27/02/1990,330.26001
28/02/1990,331.890015
01/03/1990,332.73999
02/03/1990,335.540009
05/03/1990,333.73999
06/03/1990,337.929993
07/03/1990,336.950012
08/03/1990,340.269989
09/03/1990,337.929993
12/03/1990,338.670013
13/03/1990,336
14/03/1990,336.869995
15/03/1990,338.070007
16/03/1990,341.910004
19/03/1990,343.529999
20/03/1990,341.570007
21/03/1990,339.73999
22/03/1990,335.690002
23/03/1990,337.220001
26/03/1990,337.630005
27/03/1990,341.5
28/03/1990,342
29/03/1990,340.790009
30/03/1990,339.940002
02/04/1990,338.700012
03/04/1990,343.640015
04/04/1990,341.089996
05/04/1990,340.730011
06/04/1990,340.079987
09/04/1990,341.369995
10/04/1990,342.070007
11/04/1990,341.920013
12/04/1990,344.339996
16/04/1990,344.73999
17/04/1990,344.679993
18/04/1990,340.720001
19/04/1990,338.089996
20/04/1990,335.119995
23/04/1990,331.049988
24/04/1990,330.359985
25/04/1990,332.029999
26/04/1990,332.920013
27/04/1990,329.109985
30/04/1990,330.799988
01/05/1990,332.25
02/05/1990,334.480011
03/05/1990,335.570007
04/05/1990,338.390015
07/05/1990,340.529999
08/05/1990,342.01001
09/05/1990,342.859985
10/05/1990,343.820007
11/05/1990,352
14/05/1990,354.75
15/05/1990,354.279999
16/05/1990,354
17/05/1990,354.470001
18/05/1990,354.640015
21/05/1990,358
22/05/1990,358.429993
23/05/1990,359.290009
24/05/1990,358.410004
25/05/1990,354.579987
29/05/1990,360.649994
30/05/1990,360.859985
31/05/1990,361.230011
01/06/1990,363.160004
04/06/1990,367.399994
05/06/1990,366.640015
06/06/1990,364.959991
07/06/1990,363.149994
08/06/1990,358.709991
11/06/1990,361.630005
12/06/1990,366.25
13/06/1990,364.899994
14/06/1990,362.899994
15/06/1990,362.910004
18/06/1990,356.880005
19/06/1990,358.470001
20/06/1990,359.100006
21/06/1990,360.470001
22/06/1990,355.429993
25/06/1990,352.309998
26/06/1990,352.059998
27/06/1990,355.140015
28/06/1990,357.630005
29/06/1990,358.019989
02/07/1990,359.540009
03/07/1990,360.160004
05/07/1990,355.679993
06/07/1990,358.420013
09/07/1990,359.519989
10/07/1990,356.48999
11/07/1990,361.230011
12/07/1990,365.440002
13/07/1990,367.309998
16/07/1990,368.950012
17/07/1990,367.519989
18/07/1990,364.220001
19/07/1990,365.320007
20/07/1990,361.609985
23/07/1990,355.309998
24/07/1990,355.790009
25/07/1990,357.089996
26/07/1990,355.910004
27/07/1990,353.440002
30/07/1990,355.549988
31/07/1990,356.149994
01/08/1990,355.519989
02/08/1990,351.480011
03/08/1990,344.859985
06/08/1990,334.429993
07/08/1990,334.829987
08/08/1990,338.350006
09/08/1990,339.940002
10/08/1990,335.519989
13/08/1990,338.839996
14/08/1990,339.390015
15/08/1990,340.059998
16/08/1990,332.390015
17/08/1990,327.829987
20/08/1990,328.51001
21/08/1990,321.859985
22/08/1990,316.549988
23/08/1990,307.059998
24/08/1990,311.51001
27/08/1990,321.440002
28/08/1990,321.339996
29/08/1990,324.190002
30/08/1990,318.709991
31/08/1990,322.559998
04/09/1990,323.089996
05/09/1990,324.390015
06/09/1990,320.459991
07/09/1990,323.399994
10/09/1990,321.630005
11/09/1990,321.040009
12/09/1990,322.540009
13/09/1990,318.649994
14/09/1990,316.829987
17/09/1990,317.769989
18/09/1990,318.600006
19/09/1990,316.600006
20/09/1990,311.480011
21/09/1990,311.320007
24/09/1990,304.589996
25/09/1990,308.26001
26/09/1990,305.059998
27/09/1990,300.970001
28/09/1990,306.049988
01/10/1990,314.940002
02/10/1990,315.209991
03/10/1990,311.399994
04/10/1990,312.690002
05/10/1990,311.5
08/10/1990,313.480011
09/10/1990,305.100006
10/10/1990,300.390015
11/10/1990,295.459991
12/10/1990,300.029999
15/10/1990,303.230011
16/10/1990,298.920013
17/10/1990,298.76001
18/10/1990,305.73999
19/10/1990,312.480011
22/10/1990,314.76001
23/10/1990,312.359985
24/10/1990,312.600006
25/10/1990,310.170013
26/10/1990,304.709991
29/10/1990,301.880005
30/10/1990,304.059998
31/10/1990,304
01/11/1990,307.019989
02/11/1990,311.850006
05/11/1990,314.589996
06/11/1990,311.619995
07/11/1990,306.01001
08/11/1990,307.609985
09/11/1990,313.73999
12/11/1990,319.480011
13/11/1990,317.670013
14/11/1990,320.399994
15/11/1990,317.019989
16/11/1990,317.119995
19/11/1990,319.339996
20/11/1990,315.309998
21/11/1990,316.029999
23/11/1990,315.100006
26/11/1990,316.51001
27/11/1990,318.100006
28/11/1990,317.950012
29/11/1990,316.420013
30/11/1990,322.220001
03/12/1990,324.100006
04/12/1990,326.350006
05/12/1990,329.920013
06/12/1990,329.070007
07/12/1990,327.75
10/12/1990,328.890015
11/12/1990,326.440002
12/12/1990,330.190002
13/12/1990,329.339996
14/12/1990,326.820007
17/12/1990,326.019989
18/12/1990,330.049988
19/12/1990,330.200012
20/12/1990,330.119995
