Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10
-0.006424642,0.017325101,-0.049900445,-0.015351062,0.002770472,-0.041519111,-0.006107703,0.003686791,-0.008574297,-0.007948099
-0.009838293,0.009502927,0.000638858,-0.001921976,0.015717861,0.009208282,-0.002622201,-0.002504217,0.006373904,0.007317894
-0.003765028,0.00078746,-0.016568008,0.00482366,0.007008901,0.03744668,-0.001155236,-0.001100462,-0.008597775,0.005437323
0.016359485,0.03070118,-0.010426296,0.035581048,-0.008375471,-0.022673596,0.008221681,-0.017223825,0.004846437,-0.002753554
-0.00158544,-0.018277194,0.010360992,0.000422916,0.017688228,-0.009736076,0.009389442,-0.017138569,0.011992903,-0.002194004
0.00131195,-0.023822245,0.010389,0.005772089,-0.003784567,0.035826272,0.002113639,0.001023171,-0.001643646,-0.005983114
-0.008372679,0.018303007,-0.000585375,0.02966491,-0.004221039,-0.013855141,-0.008958046,-0.008578084,-0.006517329,-0.002665937
0.027126576,-0.004574512,0.027553015,-0.001618728,-0.007446807,-0.022002099,-0.004342083,-0.013490419,0.000635244,0.013948049
-0.015461422,-0.013189334,0.022155164,0.003198038,0.019597238,-0.004421847,0.007389236,-0.00717422,-0.01158673,0.011274988
-0.001372155,0.000448035,0.032641128,-0.006311511,-0.001442995,-0.009010381,0.012203093,0.006266177,-0.006486428,-0.00331665
-0.009847361,-0.007121398,0.012383129,0.012110053,0.006868607,0.004392927,-0.009571979,-0.018720558,0.016314563,-0.003723885
-0.001352774,-0.014588483,-0.034596039,-0.00920581,-0.008066011,0.021725851,-0.002712772,-0.011026421,0.001044021,0.007271091
-0.005948661,-0.005253069,-0.02646439,-0.003742842,0.003905419,0.003399113,0.001050401,-0.00438167,-0.005049588,0.001600608
0.004289356,0.021167997,-0.024178236,0.024170251,0.017016464,0.050280901,-0.00781165,0.006150954,0.002677943,0.016621421
-0.010101994,0.004594147,0.029304618,-0.002041361,0.000311318,0.00664601,0.00578984,0.003756359,0.004940452,0.007677361
0.009657079,0.016058001,0.028926761,0.009080995,0.001286604,-0.01911083,0.012212186,0.012021276,0.01182969,0.005461581
-0.005611125,-0.022062145,-0.004156407,0.00226504,0.004630791,-0.059864416,-0.009940304,-0.002757557,-0.004347559,-0.000340456
-0.015671352,0.007068697,0.009979993,0.000776087,0.008124666,0.00530875,0.004894076,-0.001261101,-0.013889498,-0.004028043
-0.020087322,-0.019425894,-0.013172833,-0.006012129,0.005290529,0.036663071,0.00694684,-0.004353826,-0.00818233,-0.013251333
-0.002992093,-0.017094106,0.006380131,0.005965691,0.007396803,0.035360144,0.002674902,-0.015966111,-0.016241197,-0.00209403
-0.014657095,-0.013653628,-0.005879546,0.000648966,0.0020562,0.036955462,0.004584242,-0.007685393,-0.005813166,-0.007925079
-0.014191852,-0.008017234,-0.015463159,0.009769168,-0.005778643,0.003149906,0.011041918,-0.006388546,0.01233317,0.009785913
-0.010106661,0.012670063,0.030554425,-0.006521377,-0.012591623,0.013597945,0.000146873,-0.011277377,0.001049461,-0.008647081
0.00490082,0.02168946,-0.004217296,0.005863493,0.003644981,-0.017912975,0.008035693,-0.015271584,0.002554302,0.00215749
0.007901134,0.007720792,-0.028144057,0.0030114,-0.009298503,0.019131822,-0.008135425,-0.001465452,0.004005357,-0.000633147
0.026054394,-0.016380355,-0.003946869,0.001398465,-0.015814588,-0.00368435,0.002695403,0.008413251,-0.006158652,0.001731945
-0.030814154,-0.001691228,0.010389564,-0.005053863,0.006604575,-0.008996548,0.006414997,0.004227516,0.006037487,-0.005004986
-0.033657713,-0.015492433,0.007533072,-0.003092527,-0.002404186,-0.003718895,0.000358047,0.01849274,0.003045524,-0.002386416
0.013007178,0.018711977,0.013158853,-0.00763682,-0.013206217,0.011457833,-0.004896262,-0.008525979,0.002836126,-0.003670379
0.011930002,0.00071088,-0.00409823,0.003112134,0.003947802,-0.005721203,0.008653337,0.019401739,-0.006471477,0.004277605
-0.014313086,0.009322809,-0.014567053,-0.00472863,0.011495753,-0.002400942,0.007514742,-0.002777617,0.005415094,0.007066657
0.001414641,-0.002121015,0.019706884,0.002305073,0.022544823,-0.000944938,-0.000381877,0.016714825,-0.010436667,-0.002441423
0.008600456,0.006520356,-0.024955761,-0.007358294,-0.005411576,-0.008549424,0.01306548,0.000119459,-0.001614863,0.005361244
-0.003388987,-0.023092748,0.01354914,0.002787503,-0.006307043,0.006134426,0.006212601,0.005372025,-0.009456576,0.014142019
0.009293594,-0.007572746,0.018049719,0.000799552,0.007075022,-0.007006334,-0.003742231,-0.003442675,0.005358449,0.005726016
-0.004254278,-0.014595622,-0.021444435,-0.006063832,-0.008135641,0.014269214,0.000703033,0.010545524,-0.00690222,-0.001348136
0.009816009,-0.004199901,-0.005052127,0.016847527,-0.001734866,0.008889458,-0.002668593,0.007194999,0.014850987,-0.005010641
0.033814445,-0.018951915,-0.00802191,-0.01066477,9.00E-05,-0.007214449,0.008656192,0.056592846,0.000573015,0.00426458
-0.000685527,0.028550672,0.005740899,0.013954545,-0.014940766,-0.010872208,0.009122505,0.010107376,0.002704947,-0.001797852
0.000235665,0.014081013,0.000707106,-0.000328155,0.007831498,-0.01080883,0.002712656,-0.025695599,-0.010051673,-0.00793367
-0.018531074,0.020540716,0.014221651,-0.000635838,-0.015848269,0.011337303,0.002387259,-0.011572774,-8.55E-05,0.000731321
0.003548127,-0.011546339,0.019971978,-0.011107842,0.006198527,0.002710686,-0.00419966,0.012408138,0.001105537,0.00107517
0.017945175,-0.00683457,-0.002532178,0.005065034,-0.008618365,-0.016641743,-0.009553655,0.02122313,0.006444752,-0.001822818
0.009609022,0.027481469,-0.00113086,0.015545142,0.00175345,0.015033348,0.007090402,0.010628216,-0.008016996,0.005743374
0.008592618,-0.016590732,0.013375805,0.002265404,0.005110872,-0.000833394,-0.01112843,0.002938664,-0.002061592,-0.003036863
-0.012310293,0.028265987,0.017652203,-0.00239126,0.001990248,-0.005571564,-0.001769608,0.002268946,-0.002159155,0.012634337
-0.015909549,-0.003142277,0.007355629,0.005810566,0.005236945,0.009412711,0.007689958,7.18E-05,0.002499232,-0.010399226
-0.022153939,0.004222167,-0.014076643,0.003663658,0.000896957,0.006187312,0.013607491,0.004840379,-0.002947286,-0.003763816
0.00819921,0.012121608,0.003219199,-0.011473112,-0.000618368,-0.003886832,0.005243157,-0.004401469,-0.003329301,-0.004140097
-5.31E-06,-0.004153497,0.007488441,0.000742383,0.011751859,-0.000200407,0.013415124,-0.011389962,-0.003556672,0.008838427
-0.002745037,-0.011760025,0.00319228,-0.003644055,0.007799496,0.011252114,-0.009798606,0.004650645,-0.007032311,0.002445853
0.010261584,-0.013794985,0.020831737,-0.013648495,-0.003641078,-0.015675369,0.00557472,-0.0066203,0.000444063,-0.001918691
-0.003022712,-0.020493699,0.008119835,-0.05121393,0.004624439,0.003592978,-0.001069404,-0.014584818,-0.010245753,-0.005864003
0.002168014,0.005377946,-0.014245797,0.007525474,0.023859016,0.003011632,0.003986714,-0.016571292,-0.005697948,0.000282949
-0.008961795,-0.008206061,-0.016971101,-0.033265655,0.005842024,-0.007146034,0.000287814,0.008690391,-0.006280968,0.002959533
-0.016076031,-0.023166952,0.019486101,-0.003724186,-0.004779344,-0.001105007,-0.001428659,0.009970666,-0.000857377,0.00738629
-0.003503876,0.001142017,0.001477913,0.00052364,2.00E-05,0.013664975,-0.019087151,-0.029933247,0.006050807,0.0078242
0.00537739,0.006783195,-0.005200948,0.010395015,-0.004039201,-0.008750348,0.007262239,0.011814112,0.00273673,0.000922885
-0.005200082,0.004912335,-0.005498137,0.023401099,-0.00014361,0.007267044,0.000794646,0.014100806,-0.003052906,-0.007014051
0.020998312,-0.011880892,0.010155947,-0.002324798,0.005532411,-0.006209306,0.008529624,0.009456628,0.014283231,-0.012095477
0.008395372,-0.014145852,0.000410083,-0.013356097,0.000429206,0.003908906,0.001757102,0.018869581,-0.000378503,-0.004280609
0.005603786,0.004198535,0.014018867,0.00545769,-0.000135601,0.00074433,0.017968877,0.010786447,0.005200329,-0.005920939
-0.00086345,-0.005806694,0.002487662,0.005542827,-0.003167468,0.002238014,0.009594884,0.015525024,-0.005960376,-0.003251079
-0.007751869,-0.006858387,-0.017449692,-0.00827776,0.009689384,0.005373259,0.005109846,-0.017849453,-0.00202984,-0.005791822
0.005564174,-0.005261205,0.061773889,-0.021301663,-0.012334788,-0.000928569,0.002276753,-0.00591804,-0.004986525,-0.003926901
-0.006483413,0.013166376,-0.002609929,-0.000148058,-0.010465515,0.005034817,0.002223895,0.009647962,-0.002150404,-0.002036497
0.008717718,-0.028617164,0.014033099,0.0155536,-0.003309227,0.001036172,-0.007908307,-0.002341988,-0.003450482,-0.005092978
-0.009545367,0.007814026,0.002940404,-0.008381005,0.003169493,0.004293312,0.00176035,0.014040626,0.005681045,0.011046322
-0.010322316,0.001925974,-0.010464414,0.000324771,0.000664157,0.00974058,-0.005047063,0.015538999,0.008079246,-0.018998239
-0.00852925,0.018393617,-0.023638294,0.003392872,0.007718423,0.002876982,-0.00787393,-0.005168434,-0.005759363,-0.020284938
-0.00838589,-0.010536177,-0.004393365,0.006310684,-0.015961167,0.007225488,-0.005995366,0.040762172,-0.004886608,-0.008568138
-0.002951812,-0.025000435,-0.001246581,0.001372206,-0.009128881,0.003098748,0.000696611,0.007085879,-0.002866011,-0.00147343
-0.003528002,-0.007490969,-0.003519247,0.011612518,0.009273002,1.68E-05,-0.007544062,-0.026466115,0.008569281,0.003145187
-0.001324128,-0.003201703,-0.006167293,-9.19E-05,-0.001101365,0.006917357,0.000619203,0.00930207,-0.005271951,0.004226592
0.007098255,0.015897043,-0.000132923,0.022904411,-0.003045652,0.006379999,0.005087206,0.008545477,-0.001179577,0.00417259
-0.006057281,0.019868363,-0.009193626,0.002417423,0.034501025,-0.001430684,0.002404013,0.040341807,0.000266051,0.012375863
0.015117563,-0.012803437,0.009948308,0.004948668,0.016193111,0.004517648,0.004491727,0.012522605,0.009351628,-0.002756106
0.010821988,-0.022762817,-0.009672667,0.007941775,-0.017954544,0.007715534,5.34E-05,0.00519615,-0.000228791,-0.007983241
-0.008168942,-0.014265034,0.022598116,0.003436866,-0.01776594,0.008811646,0.002684112,-0.007478191,0.001814266,0.001190706
0.006246008,0.0061173,-0.008158595,0.018664554,0.057061957,0.021381709,0.003142283,-0.009759555,-0.000684901,-0.005032524
0.004904156,-0.0014248,0.027143572,-0.005488151,0.021166799,-0.055721029,0.011422618,-0.014045333,-0.001282627,-0.00512053
-0.005129791,-0.012868087,0.003049574,0.015458632,-0.020564878,0.013097887,-0.007484058,0.000544759,0.002874775,0.003986107
0.01645958,0.00796981,0.009733749,0.002487886,-0.021746341,-0.000948814,0.004017341,-0.008682304,0.007096458,-0.012580685
0.002928785,-0.010176686,-0.025691753,-0.008545897,0.015574028,-0.000170206,0.002275036,0.017262796,-0.004394289,0.007644041
0.001014506,-0.002058464,-0.006258289,-0.032142989,-0.041338997,-0.002298853,0.006940409,0.009109471,0.000314427,0.005918546
-0.003595318,-0.008697669,0.027783819,0.019644607,-0.001095158,0.009379105,-0.015363675,-0.006442257,0.000769613,-0.00151032
-0.00394069,0.010796918,-0.025598247,-0.01968388,-0.049551216,-0.006228213,0.007924116,0.014343659,-0.001087319,0.001714441
-0.009044837,0.016022432,0.036193945,-0.021475664,0.024276942,-0.00826657,0.002943435,0.012074945,0.005314289,-0.004902873
0.004378372,0.018718985,-0.002956676,-0.041694973,0.031228763,0.020668849,0.003062932,-0.0137998,0.003591865,-0.004503185
0.002472392,0.007629529,0.021923465,-0.039199042,-0.049508635,-0.001452805,0.004393873,0.009820439,0.004521614,-0.008329319
-0.008128827,0.013925662,-0.00254356,-0.000853727,-0.004651951,-0.028322272,0.00482656,-0.014001245,-0.004261414,0.010187957
-0.001618083,-0.02770051,0.005810741,0.019088759,-0.015030576,0.024373473,0.004735885,-0.017922625,-0.002951606,0.004818782
0.014226563,-0.009849621,-0.018994248,0.010012126,0.006899524,-0.016541868,-0.005352378,-0.009486197,0.009774002,-0.004158765
-0.025109738,-0.006623811,0.00072287,-0.007709817,0.052400938,-0.028315464,-0.004131195,-0.017036897,0.000735944,0.00471912
-0.008544304,0.033722518,-0.005721235,0.023820137,-0.045176724,0.00069474,0.003108258,0.001893949,-0.0026057,0.001154453
0.001104184,0.005776128,0.025148215,0.030407055,-0.008444455,0.008313705,0.002173628,-0.010593806,4.12E-05,-0.016715962
-0.006074116,0.001616184,-0.023000828,0.009763297,0.026605688,-0.00607353,-0.007508213,0.001871064,-0.000962715,0.001747432
-0.003032773,-0.01276824,0.018377347,0.002695479,-0.007964037,0.006555631,0.007078522,0.010437456,0.000206863,-0.008172887
0.007625677,0.011455471,0.016102744,0.013507697,0.009428204,-0.002643983,0.008431355,0.01876031,-5.47E-05,-0.007769021
0.010706244,-0.019747914,-0.004440573,-0.007193484,-0.011973957,-0.012454925,-0.004482017,-0.009221237,-0.006422685,-0.008256295
0.00365675,-0.005736731,-0.00426996,-0.039387297,0.026426434,-0.007859797,-0.006389156,-0.013678944,-0.008887268,-0.01005064
-0.010666746,0.001658254,0.030092398,-0.003357227,-0.00258371,0.003149528,-0.001199474,-0.023463864,0.008066238,-0.003969206
0.007654562,-0.003581644,0.005454275,0.01768271,-0.021461679,0.005584435,0.001691954,-0.000473285,-0.00569754,0.005972331
0.004851719,-0.000660187,-0.004141436,-0.003785036,-0.021006181,-0.009239698,-3.48E-05,0.000203462,0.010501231,0.013166131
0.000459771,-0.042257859,-0.007367433,-0.009098537,0.045834526,0.000464277,-0.010737655,-0.004548242,0.006711341,-0.003636556
-0.000787259,0.018372878,-0.031007439,0.016543282,0.007016073,0.000651269,-0.002042519,0.012207996,0.002312492,0.006127525
-0.00173246,-0.015240518,0.000237313,-0.002831061,0.007731603,0.016290058,6.80E-06,-0.02505482,0.002961576,0.009637743
0.011275644,-0.018983598,0.004882686,0.005745145,-0.016246027,0.012697139,0.010340012,0.015854214,0.001122764,0.045758148
0.010180108,-0.006096461,0.021055857,-0.000101374,-0.001263456,0.003862243,0.020831391,-0.004220602,0.005734226,0.027420912
-0.001441237,-0.018842344,-0.003168515,0.008516475,0.020862253,-0.01263628,-0.017807752,0.01011028,-0.000338732,0.021597246
0.005665446,0.010386082,0.02191506,0.013158803,-0.004100492,-0.005287475,0.010657098,0.004257445,0.001955965,0.011096292
0.004236095,0.005368722,0.004544636,0.022777368,0.005499226,-0.002248894,0.038523485,0.008192243,0.00591329,0.013584393
0.003158395,0.01053855,-0.01110384,-0.031008095,0.015931641,0.02149375,0.019905582,0.009043618,-0.003054719,-0.007352392
-0.008458777,0.005318656,0.001251285,0.019513327,0.010787368,0.015350838,-0.003847337,0.004509904,0.005165803,0.033495608
0.001524943,-0.006759502,0.003831214,-0.002200892,0.003634811,0.005679321,0.004805665,-0.010932857,0.005494062,0.020174154
-0.001468087,-0.010825941,-0.015288053,-0.005041122,-0.007444997,-0.001067236,-0.005590759,-0.009932159,0.001843006,0.008476346
-0.001935863,0.004650325,0.000486908,-0.025989694,-0.007190672,0.001583153,0.030922863,0.014652526,-0.001846644,0.009232877
-0.011726509,-0.004071777,-0.023148393,0.020259649,0.011900034,-0.013758999,-0.008726995,-0.000242835,0.000803767,-0.025363525
0.010197231,0.001880973,-0.008170393,-0.027386592,0.055306424,0.014514478,0.012744289,0.00628242,-0.000748256,0.020689132
3.80E-06,0.006203469,0.028005065,-0.019540746,-0.004803702,0.000755222,-0.020196859,0.000655618,0.006622012,-0.020420464
-0.000545134,-0.020459122,0.017712944,-0.034853189,-0.051701066,-0.001958873,-0.002501349,0.006351035,0.00304773,-0.014725794
-0.001198845,0.01595596,0.010034354,0.024431635,0.012421553,0.013764814,-0.00258656,0.001427992,-0.000165121,-0.014902708
0.003997683,0.010126879,0.01635646,-0.004788705,-0.00811097,-0.002755973,0.00706861,-0.008311216,-0.005218827,0.0284748
0.006306922,0.00267666,0.00128102,0.015315598,0.02004029,-0.005610989,0.000652269,0.002576811,0.002501089,-0.014670185
-0.007876074,-0.005838698,-0.027112088,-0.003717098,0.015359745,0.009928358,-0.012100449,-0.002212422,0.002767954,-0.015337562
0.000620605,-0.003325122,0.017829977,-0.024285389,0.033185076,-0.013085813,0.0107933,0.007121819,0.012251795,-0.004318474
-0.00061088,-0.013367702,0.01248168,-0.021566883,0.001660634,-0.011028861,0.003634481,0.010866281,-0.000142793,0.014882157
-0.015878295,-0.026741422,0.003834746,0.00702048,0.002009664,0.004404917,0.001159859,0.005537211,0.000748262,0.00385356
0.013462886,-0.003132481,0.015861358,-0.00429363,-0.022234234,-0.009152612,-0.011460015,0.003913514,-0.000278651,6.47E-05
0.030577818,0.026748339,0.021861067,-0.007352512,-0.009884745,0.018686871,-0.000791135,-0.000354901,0.001514979,0.003235716
-0.004332249,-0.019793326,-0.018007604,0.004906738,0.019856149,5.64E-06,-0.023110048,0.005700819,0.00588694,0.029709273
-0.005558474,-0.004559292,0.007003093,-0.005001947,0.00380929,0.004837206,-0.016009209,-0.00216827,0.001522817,-0.00336097
-0.002709562,-0.009941522,0.012415365,0.016617347,0.022956645,-0.002546324,0.006022203,0.002260758,-0.002485081,0.015761428
-0.002889896,-0.037363662,-0.019956804,-0.023116913,0.008316367,-0.008012541,0.018602803,0.005485861,-0.00092859,0.002520006
0.001941076,-0.004134098,0.009937637,-0.022128352,0.000820663,0.003015404,-0.000198906,-0.010174621,-0.003208347,0.000720561
-0.01449141,-0.011961058,-0.000718639,0.009155877,0.014134898,-0.008296018,-0.007935964,0.00432503,0.00032784,-0.002054913
-0.003602501,0.005690097,0.022398474,-0.027486623,0.012087436,-0.010588132,-0.008832732,-0.004015329,0.00444412,0.008427302
-0.006942214,-0.062249275,-0.021783954,-0.026090407,-0.031749575,0.003572203,-0.003847695,-0.000690037,0.002375801,-0.009583813
-0.008497705,-0.041095676,0.011425338,-0.011033512,0.00679735,-0.019404818,0.003157634,-0.007904935,0.010684361,0.005603785
0.021924834,-0.00271737,0.002469287,0.000186513,-0.052575116,-0.002531664,-0.008260354,-0.005554993,-0.007735147,0.007504402
-0.011153151,0.014546489,0.051500772,-0.00504683,0.010677946,-0.017873586,-0.000895971,-0.003629821,-0.001125454,-0.022050385
0.010543341,-0.028129295,0.044261369,-0.003001908,-0.020542881,-0.003198771,0.003360753,0.005343768,0.001508121,0.004698749
-0.001089761,0.006909932,-0.015106499,0.000406347,0.016126201,-0.003654344,-0.001477573,-0.015916559,-0.00315243,-0.003888133
